start,end,duration_h,peak_obs_mllw,peak_pred_mllw,peak_surge_ft,max_depth_curb_in,max_depth_road_in,max_depth_intersection_in,max_depth_lawn_in,year,month
1922-09-22 08:00:00,1922-09-22 09:00:00,2,7.286,6.453,1.0190000000000001,8.471999999999994,6.071999999999992,3.9119999999999955,3.431999999999995,1922,9
1922-09-22 20:00:00,1922-09-22 21:00:00,2,6.886,6.02,0.8660000000000005,3.6720000000000113,1.2720000000000091,0.0,0.0,1922,9
1922-09-23 09:00:00,1922-09-23 10:00:00,2,6.886,6.42,0.766,3.6720000000000113,1.2720000000000091,0.0,0.0,1922,9
1922-09-24 10:00:00,1922-09-24 11:00:00,2,6.886,6.23,0.8159999999999998,3.6720000000000113,1.2720000000000091,0.0,0.0,1922,9
1926-08-21 18:00:00,1926-08-21 18:00:00,1,6.685,6.11,0.5749999999999993,1.2600000000000051,0.0,0.0,0.0,1926,8
1926-08-22 18:00:00,1926-08-22 19:00:00,2,6.987,6.343,0.6440000000000001,4.884,2.483999999999998,0.3240000000000016,0.0,1926,8
1926-08-24 20:00:00,1926-08-24 21:00:00,2,6.685,6.325,0.4169999999999998,1.2600000000000051,0.0,0.0,0.0,1926,8
1926-08-25 22:00:00,1926-08-25 22:00:00,1,6.587,5.984,0.6029999999999998,0.08399999999999608,0.0,0.0,0.0,1926,8
1926-09-20 19:00:00,1926-09-20 19:00:00,1,6.587,6.152,0.4349999999999996,0.08399999999999608,0.0,0.0,0.0,1926,9
1932-11-09 17:00:00,1932-11-09 19:00:00,3,7.187,4.608,3.341,7.284000000000013,4.884000000000011,2.7240000000000144,2.244000000000014,1932,11
1932-11-10 03:00:00,1932-11-10 07:00:00,5,7.486,5.044,3.361,10.872000000000007,8.472000000000005,6.312000000000008,5.832000000000008,1932,11
1933-01-26 08:00:00,1933-01-26 09:00:00,2,7.187,5.503,2.1400000000000006,7.284000000000013,4.884000000000011,2.7240000000000144,2.244000000000014,1933,1
1933-01-27 08:00:00,1933-01-27 10:00:00,3,7.187,5.31,2.0789999999999997,7.284000000000013,4.884000000000011,2.7240000000000144,2.244000000000014,1933,1
1933-01-27 21:00:00,1933-01-27 21:00:00,1,6.685,4.676,2.0089999999999995,1.2600000000000051,0.0,0.0,0.0,1933,1
1935-11-17 12:00:00,1935-11-17 16:00:00,5,7.486,4.451,4.317,10.872000000000007,8.472000000000005,6.312000000000008,5.832000000000008,1935,11
1937-10-23 10:00:00,1937-10-23 10:00:00,1,6.886,6.057,0.8289999999999997,3.6720000000000113,1.2720000000000091,0.0,0.0,1937,10
1938-09-21 16:00:00,1938-09-21 16:00:00,1,7.086,5.036,2.0500000000000007,6.072000000000003,3.6720000000000006,1.512000000000004,1.0320000000000036,1938,9
1939-05-03 20:00:00,1939-05-03 20:00:00,1,6.685,5.952,0.7329999999999997,1.2600000000000051,0.0,0.0,0.0,1939,5
1940-04-20 18:00:00,1940-04-20 19:00:00,2,6.587,6.028,0.7059999999999995,0.08399999999999608,0.0,0.0,0.0,1940,4
1940-10-01 20:00:00,1940-10-01 20:00:00,1,6.685,5.979,0.7059999999999995,1.2600000000000051,0.0,0.0,0.0,1940,10
1940-10-02 08:00:00,1940-10-02 08:00:00,1,6.587,6.548,0.0389999999999997,0.08399999999999608,0.0,0.0,0.0,1940,10
1942-02-07 12:00:00,1942-02-07 12:00:00,1,6.587,4.312,2.2749999999999995,0.08399999999999608,0.0,0.0,0.0,1942,2
1942-03-03 08:00:00,1942-03-03 09:00:00,2,6.685,5.127,1.6229999999999993,1.2600000000000051,0.0,0.0,0.0,1942,3
1943-03-06 21:00:00,1943-03-06 21:00:00,1,6.905,5.397,1.508,3.900000000000013,1.5000000000000107,0.0,0.0,1943,3
1943-10-26 18:00:00,1943-10-26 21:00:00,4,7.407,4.959,3.4750000000000005,9.924,7.523999999999997,5.364000000000001,4.884,1943,10
1944-01-04 04:00:00,1944-01-04 04:00:00,1,6.807,4.631,2.176,2.7240000000000038,0.3240000000000016,0.0,0.0,1944,1
1944-09-14 19:00:00,1944-09-14 21:00:00,3,9.307,5.191,4.562,32.724000000000004,30.324,28.164000000000005,27.684000000000005,1944,9
1944-11-30 08:00:00,1944-11-30 09:00:00,2,7.407,5.985,1.4219999999999997,9.924,7.523999999999997,5.364000000000001,4.884,1944,11
1945-01-16 10:00:00,1945-01-16 11:00:00,2,7.187,5.483,1.9850000000000003,7.284000000000013,4.884000000000011,2.7240000000000144,2.244000000000014,1945,1
1945-11-22 09:00:00,1945-11-22 09:00:00,1,6.685,5.899,0.7859999999999996,1.2600000000000051,0.0,0.0,0.0,1945,11
1945-11-29 03:00:00,1945-11-29 05:00:00,3,6.886,4.51,2.761,3.6720000000000113,1.2720000000000091,0.0,0.0,1945,11
1945-12-02 06:00:00,1945-12-02 07:00:00,2,6.685,5.11,1.912,1.2600000000000051,0.0,0.0,0.0,1945,12
1945-12-06 09:00:00,1945-12-06 09:00:00,1,6.787,5.054,1.7329999999999997,2.484000000000009,0.08400000000000674,0.0,0.0,1945,12
1945-12-20 09:00:00,1945-12-20 09:00:00,1,6.587,5.735,0.8519999999999994,0.08399999999999608,0.0,0.0,0.0,1945,12
1946-06-02 22:00:00,1946-06-02 22:00:00,1,6.587,5.952,0.6349999999999998,0.08399999999999608,0.0,0.0,0.0,1946,6
1947-10-31 08:00:00,1947-10-31 09:00:00,2,6.987,5.943,1.263,4.884,2.483999999999998,0.3240000000000016,0.0,1947,10
1947-11-01 09:00:00,1947-11-01 10:00:00,2,6.886,5.91,1.3410000000000002,3.6720000000000113,1.2720000000000091,0.0,0.0,1947,11
1948-10-06 10:00:00,1948-10-06 11:00:00,2,6.787,5.89,1.149,2.484000000000009,0.08400000000000674,0.0,0.0,1948,10
1949-05-11 19:00:00,1949-05-11 19:00:00,1,6.587,6.306,0.2809999999999997,0.08399999999999608,0.0,0.0,0.0,1949,5
1949-05-12 20:00:00,1949-05-12 20:00:00,1,6.587,6.275,0.3119999999999994,0.08399999999999608,0.0,0.0,0.0,1949,5
1949-10-22 08:00:00,1949-10-22 08:00:00,1,6.587,6.469,0.11799999999999944,0.08399999999999608,0.0,0.0,0.0,1949,10
