product,utc,point,box_mean,box_max,unit
MultiSensor_QPE_01H_Pass2,2025-04-18T09:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2025-04-18T10:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2025-04-18T11:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2025-04-18T12:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2025-04-18T13:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2025-04-18T14:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2025-04-18T15:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2025-04-18T16:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2025-04-18T17:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2025-04-18T18:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2025-04-18T19:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2025-04-18T20:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2025-04-18T21:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2025-04-18T22:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2025-04-18T23:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2025-08-21T00:00:00Z,1.20,1.28,1.80,mm
MultiSensor_QPE_01H_Pass2,2025-08-21T01:00:00Z,1.10,1.07,1.20,mm
MultiSensor_QPE_01H_Pass2,2025-08-21T02:00:00Z,1.20,1.12,1.30,mm
MultiSensor_QPE_01H_Pass2,2025-08-21T03:00:00Z,1.20,1.08,1.20,mm
MultiSensor_QPE_01H_Pass2,2025-08-21T04:00:00Z,0.50,0.56,0.70,mm
MultiSensor_QPE_01H_Pass2,2025-08-21T05:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2025-08-21T06:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2025-08-21T07:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2025-08-21T08:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2025-08-21T09:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2025-08-21T10:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2025-08-21T11:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2025-08-21T12:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2025-08-21T13:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2025-08-21T14:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2025-08-21T15:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2025-08-21T16:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2025-08-21T17:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2025-08-21T18:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2025-08-21T19:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2025-08-21T20:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2025-08-21T21:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2025-08-21T22:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2025-08-21T23:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-02-22T00:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-02-22T01:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-02-22T02:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-02-22T03:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-02-22T04:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-02-22T05:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-02-22T06:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-02-22T07:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-02-22T08:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-02-22T09:00:00Z,0.50,0.17,0.50,mm
MultiSensor_QPE_01H_Pass2,2026-02-22T10:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-02-22T11:00:00Z,1.20,0.56,1.20,mm
MultiSensor_QPE_01H_Pass2,2026-02-22T12:00:00Z,0.70,0.58,0.70,mm
MultiSensor_QPE_01H_Pass2,2026-02-22T13:00:00Z,0.30,0.20,0.30,mm
MultiSensor_QPE_01H_Pass2,2026-02-22T14:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-02-22T15:00:00Z,0.30,0.16,0.30,mm
MultiSensor_QPE_01H_Pass2,2026-02-22T16:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-02-22T17:00:00Z,0.20,0.11,0.20,mm
MultiSensor_QPE_01H_Pass2,2026-02-22T18:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-02-22T19:00:00Z,1.10,1.08,1.10,mm
MultiSensor_QPE_01H_Pass2,2026-02-22T20:00:00Z,0.70,0.70,0.80,mm
MultiSensor_QPE_01H_Pass2,2026-02-22T21:00:00Z,0.60,0.63,0.70,mm
MultiSensor_QPE_01H_Pass2,2026-02-22T22:00:00Z,0.80,0.81,0.90,mm
MultiSensor_QPE_01H_Pass2,2026-02-22T23:00:00Z,1.80,1.79,1.80,mm
MultiSensor_QPE_01H_Pass2,2026-02-23T00:00:00Z,1.80,1.80,1.90,mm
MultiSensor_QPE_01H_Pass2,2026-02-23T01:00:00Z,1.80,1.83,2.10,mm
MultiSensor_QPE_01H_Pass2,2026-02-23T02:00:00Z,3.60,3.52,3.60,mm
MultiSensor_QPE_01H_Pass2,2026-02-23T03:00:00Z,1.90,1.87,1.90,mm
MultiSensor_QPE_01H_Pass2,2026-02-23T04:00:00Z,1.80,1.78,1.90,mm
MultiSensor_QPE_01H_Pass2,2026-02-23T05:00:00Z,1.50,1.52,1.60,mm
MultiSensor_QPE_01H_Pass2,2026-02-23T06:00:00Z,1.60,1.63,1.70,mm
MultiSensor_QPE_01H_Pass2,2026-02-23T07:00:00Z,1.40,1.36,1.40,mm
MultiSensor_QPE_01H_Pass2,2026-02-23T08:00:00Z,1.30,1.26,1.30,mm
MultiSensor_QPE_01H_Pass2,2026-02-23T09:00:00Z,1.10,1.07,1.10,mm
MultiSensor_QPE_01H_Pass2,2026-02-23T10:00:00Z,1.40,1.43,1.50,mm
MultiSensor_QPE_01H_Pass2,2026-02-23T11:00:00Z,1.80,1.82,1.90,mm
MultiSensor_QPE_01H_Pass2,2026-02-23T12:00:00Z,2.50,2.50,2.60,mm
MultiSensor_QPE_01H_Pass2,2026-02-23T13:00:00Z,2.10,2.14,2.30,mm
MultiSensor_QPE_01H_Pass2,2026-02-23T14:00:00Z,2.30,2.27,2.50,mm
MultiSensor_QPE_01H_Pass2,2026-02-23T15:00:00Z,2.00,1.99,2.00,mm
MultiSensor_QPE_01H_Pass2,2026-02-23T16:00:00Z,1.70,1.74,1.80,mm
MultiSensor_QPE_01H_Pass2,2026-02-23T17:00:00Z,1.20,1.17,1.30,mm
MultiSensor_QPE_01H_Pass2,2026-02-23T18:00:00Z,1.60,1.60,1.80,mm
MultiSensor_QPE_01H_Pass2,2026-02-23T19:00:00Z,1.30,1.30,1.40,mm
MultiSensor_QPE_01H_Pass2,2026-02-23T20:00:00Z,1.60,1.54,1.60,mm
MultiSensor_QPE_01H_Pass2,2026-02-23T21:00:00Z,0.30,0.24,0.40,mm
MultiSensor_QPE_01H_Pass2,2026-02-23T22:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-02-23T23:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-04-17T00:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-04-17T01:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-04-17T02:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-04-17T03:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-04-17T04:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-04-17T05:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-04-17T06:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-04-17T07:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-04-17T08:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-04-17T09:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-04-17T10:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-04-17T11:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-04-17T12:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-04-17T13:00:00Z,0.00,0.00,0.00,mm
MultiSensor_QPE_01H_Pass2,2026-04-17T14:00:00Z,0.00,0.00,0.00,mm
